"workerId","batch","condition","baseline","contract_value","exchange","start_gain_frame","total_bonus","duration","numeracy","gender","age","education","chart_use","companyValue","groundTruth","intervene","outcome","pContractNew","pContractOld","pSup","payoff","respTime","startTime","trial","trialDur","trialIdx"
"637ca945",5,"intervals_w_means",0.85,6.85,0.01524,"True",2.58,525.621999979019,6,"F","35-44","Some college, no degree","Weekly",174.4,0.247,1,"True",0.9774632,0.85,10,-1,1564004807.384,1564004800.656,"16",6.72800016403198,"8"
"637ca945",5,"intervals_w_means",0.85,6.85,0.01524,"True",2.58,525.621999979019,6,"F","35-44","Some college, no degree","Weekly",174.4,0.383,0,"True",0.9276092,0.85,10,0,1564004818.26,1564004810.642,"17",7.61800003051758,"10"
"637ca945",5,"intervals_w_means",0.85,6.85,0.01524,"True",2.58,525.621999979019,6,"F","35-44","Some college, no degree","Weekly",173.4,0.112,1,"True",0.9970765,0.85,21,-1,1564004829.506,1564004821.709,"18",7.79699993133545,"5"
"637ca945",5,"intervals_w_means",0.85,6.85,0.01524,"True",2.58,525.621999979019,6,"F","35-44","Some college, no degree","Weekly",172.4,0.148,1,"True",0.9940605,0.85,5,-1,1564004838.154,1564004832.501,"19",5.65300011634827,"6"
"637ca945",5,"intervals_w_means",0.85,6.85,0.01524,"True",2.58,525.621999979019,6,"F","35-44","Some college, no degree","Weekly",171.4,0.046,1,"True",0.9996819,0.85,10,-1,1564004848.529,1564004841.283,"20",7.24600005149841,"2"
"637ca945",5,"intervals_w_means",0.85,6.85,0.01524,"True",2.58,525.621999979019,6,"F","35-44","Some college, no degree","Weekly",171.4,0.46,0,"True",0.8805085,0.85,5,0,1564004875.075,1564004854.185,"21",20.8900001049042,"11"
"637ca945",5,"intervals_w_means",0.85,6.85,0.01524,"True",2.58,525.621999979019,6,"F","35-44","Some college, no degree","Weekly",170.4,0.084,1,"True",0.9985877,0.85,1,-1,1564004887.626,1564004878.676,"22",8.94999980926514,"4"
"637ca945",5,"intervals_w_means",0.85,6.85,0.01524,"True",2.58,525.621999979019,6,"F","35-44","Some college, no degree","Weekly",169.4,0.084,1,"True",0.9985877,0.85,0,-1,1564004896.895,1564004890.897,"23",5.99799990653992,"4"
"637ca945",5,"intervals_w_means",0.85,6.85,0.01524,"True",2.58,525.621999979019,6,"F","35-44","Some college, no degree","Weekly",169.4,0.383,0,"True",0.9276092,0.85,2,0,1564004911.638,1564004900.159,"24",11.4790000915527,"10"
"637ca945",5,"intervals_w_means",0.85,6.85,0.01524,"True",2.58,525.621999979019,6,"F","35-44","Some college, no degree","Weekly",112.05,0.6,1,"True",0.9774189,0.95,50,5.85,1564004530.007,1564004493.591,"practice1",36.4159998893738,"practice"
"637ca945",5,"intervals_w_means",0.85,6.85,0.01524,"True",2.58,525.621999979019,6,"F","35-44","Some college, no degree","Weekly",105.2,0.4,1,"True",0.9774189,0.95,0,-1,1564004753.73,1564004723.095,"practice2",30.6349999904633,"practice"
"8075af54",3,"HOPs",0.5,2.25,0.04803,"True",2.41,796.460999965668,6,"M","18-24","Bachelor's degree","Monthly or less",52.25,0.753,1,"True",0.8333612,0.5,10,1.25,1563988925.294,1563988891.401,"1",33.8929998874664,"15"
"8075af54",3,"HOPs",0.5,2.25,0.04803,"True",2.41,796.460999965668,6,"M","18-24","Bachelor's degree","Monthly or less",53.5,0.916,1,"True",0.9743985,0.5,15,1.25,1563988944.162,1563988931.546,"2",12.6159999370575,"19"
"8075af54",3,"HOPs",0.5,2.25,0.04803,"True",2.41,796.460999965668,6,"M","18-24","Bachelor's degree","Monthly or less",54.75,0.937,1,"True",0.9849753,0.5,5,1.25,1563988970.548,1563988953.22,"3",17.3280000686646,"20"
"8075af54",3,"HOPs",0.5,2.25,0.04803,"True",2.41,796.460999965668,6,"M","18-24","Bachelor's degree","Monthly or less",56,0.807,1,"True",0.8903388,0.5,20,1.25,1563988993.893,1563988974.743,"4",19.1499998569489,"16"
