"workerId","batch","n_trials","n_data_conds","condition","baseline","es_threshold","start_means","award_value","starting_value","exchange","cutoff","max_bonus","total_bonus","duration","numeracy","gender","age","education","chart_use","difficulties","accountValue","groundTruth","intervene","outcome","pAwardWith","pAwardWithout","pSup","payoff","respTime","sdDiff","startTime","trial","trialDur","trialIdx"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",132.31,0.912,1,"True",0.97206,0.5,60,2.17,1569959093.302,15,1569959087.18,"13",6.12199997901917,"15"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",135.48,0.754,0,"True",0.83415,0.5,50,3.17,1569959104.631,5,1569959095.734,"14",8.8970000743866,"5"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",138.65,0.721,0,"True",0.79653,0.5,60,3.17,1569959113.202,15,1569959107.123,"15",6.0789999961853,"12"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",138.65,0.55,0,"False",0.57053,0.5,50,0,1569959120.431,15,1569959116.602,"16",3.8289999961853,"9"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",138.65,0.668,0,"False",0.73088,0.5,60,0,1569959131.442,15,1569959123.93,"17",7.51199984550476,"11"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",138.65,0.754,0,"False",0.83415,0.5,70,0,1569959172.818,15,1569959163.139,"18",9.67900013923645,"13"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",138.65,0.721,0,"False",0.79653,0.5,50,0,1569959185.652,5,1569959176.397,"19",9.25499987602234,"4"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",138.65,0.668,0,"False",0.73088,0.5,100,0,1569959197.463,5,1569959189.475,"20",7.98800015449524,"3"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",138.65,0.55,0,"False",0.57053,0.5,50,0,1569959206.436,15,1569959200.526,"21",5.91000008583069,"9"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",141.82,0.611,0,"True",0.65464,0.5,10,3.17,1569959221.698,5,1569959209.203,"22",12.4949998855591,"2"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",144.99,0.95,0,"True",0.99,0.5,70,3.17,1569959232.569,5,1569959224.4,"23",8.16899991035461,"8"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",148.16,0.754,0,"True",0.83415,0.5,20,3.17,1569959240.834,5,1569959235.26,"24",5.57400012016296,"5"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",148.16,0.912,0,"False",0.97206,0.5,75,0,1569959247.685,5,1569959243.214,"25",4.47099995613098,"7"
